strongs	hebrew	translit	gloss
615	אָסִיר	a.sir	prisoner
616	אַסִּיר	as.sir	prisoner
617	אַסִּיר	as.sir	Assir
618	אָסָם	a.sam	storehouse
619	אַסְנָה	as.nah	Asnah
620	אָֽסְנַפַּר	os.nap.par	Osnappar
621	אָֽסְנַת	a.se.nat	Asenath
622	אָסַף	a.saph	to gather
623	אָסָף	a.saph	Asaph
624	אָסֹף	a.suph	storehouse
625	אֹ֫סֵף	o.seph	gathering
626	אֲסֵפָה	a.se.phah	collecting
627	אֲסֻפָּה	a.sup.pah	collection
628	אֲסַפְסֻף	a.se.pe.suph	rabble
629	אׇסְפַּרְנָא	os.par.na	diligently
630	אַסְפָּ֑תָא	as.pa.ta	Aspatha
631	אָסַר	a.sar	to bind
632	אִסָּר	e.sar	injunction
634	אֵסַר־חַדּוֹן	e.sar-chad.don	Esarhaddon
635	אֶסְתֵּר	es.ter	Esther
637	אַף	aph	also
639	אֲנַף	a.naph	face
640	אָפַד	a.phad	to gird
641	אֵפֹד	e.phod	Ephod
642	אֲפֻדָּה	e.phud.dah	ephod
643	אַפֶּ֫דֶן	ap.pe.den	palace
644	אָפָה	a.phah	to bake
645	אֵפוֹ	e.pho	then
646	אֵפוֹד	e.phod	ephod
647	אֲפִיחַ	a.phi.ach	Aphiah
648	אָפִיל	a.phil	late
649	אַפַּיִם	ap.pa.yim	Appaim
650	אָפִיק	a.phiq	channel
651	אָפֵל	a.phel	gloom
652	אֹ֫פֶל	o.phel	darkness
653	אֲפֵלָה	a.phe.lah	darkness
654	אֶפְלָל	eph.lal	Ephlal
655	אֹ֫פֶן	o.phen	(right) time
656	אָפֵס	a.phes	to end
657	אֶ֫פֶס	e.phes	end
658	אֶ֫פֶס דַּמִּים	e.phes dam.mim	Ephes-dammim
659	אֶ֫פַע	e.pah	worthless
660	אֶפְעֶה	eph.eh	viper
661	אָפַף	a.phaph	to surround
662	אָפַק	a.phaq	to refrain
663	אֲפֵק	a.pheq	Aphek
665	אֵ֫פֶר	e.pher	ashes
666	אֲפֵר	a.pher	bandage
667	אֶפְרֹחַ	eph.ro.ach	young
668	אַפִּרְיוֹן	ap.pir.yon	carriage
669	אֶפְרַ֫יִם	eph.ra.yim	Ephraim
671	אֲפָֽרְסְכָיֵא	a.phar.se.khay	governors
672	אֶפְרָ֫תָה	eph.ra.tah	Ephrathah
674	אַפְּתֹם	ap.p.tom	revenue
675	אׇזְנִי	oz.ni	Ozni
676	אֶצְבַּע	ets.ba	finger
678	אָצִיל	a.tsil	chief
679	אַצִּיל	ats.tsil	joint
680	אָצַל	a.tsal	to reserve
681	אֵ֫צֶל	e.tsel	beside
682	אָצֵל	a.tsel	Azel
683	אֲצַלְיָ֫הוּ	a.tsal.ya.hu	Azaliah
684	אֹ֫צֶם	o.tsem	Ozem
685	אֶצְעָדָה	ets.a.dah	armlet
686	אָצַר	a.tsar	to store
687	אֵ֫צֶר	e.tser	Ezer
688	אֶקְדָּח	eq.dach	carbuncle
689	אַקּוֹ	aq.qo	wild goat
690	אֲרָא	a.ra	Ara
691	אֶרְאֵל	er.el	hero
692	אַרְאֵלִי	ar.e.li	Areli
693	אָרַב	a.rav	to ambush
694	אֲרָב	a.rav	Arab
695	אֶ֫רֶב	e.rev	ambush
696	אֹ֫רֶב	o.rev	ambush
697	אַרְבֶּה	ar.beh	locust
698	אָרְבָּה	o.ro.vah	skill
699	אֲרֻבָּה	a.rub.bah	window
